"author_id","first_name","last_name"
1,"a.","glatz"
2,"a.","frasca"
3,"a.","koitzsch"
4,"a. a.","kordyuk"
5,"a. c.","hewson"
6,"a. o.","barvinsky"
7,"a. p.","hatzes"
8,"a. p.","filin"
9,"a. s.","konstantinov"
10,"a. t.","savici"
11,"a. v.","inyakin"
12,"a. yu.","polyarush"
13,"alexander yu.","orlov"
14,"alvaro","pelayo"
15,"andrea","conti"
16,"andrew","gould"
17,"andrew d.","ludlow"
18,"anon","plangprasopchok"
19,"anthony f. j.","van raan"
20,"antoine","delcroix"
21,"b.","buechner"
22,"b. l.","altshuler"
23,"b. scott","gaudi"
24,"baptiste","sirjean"
25,"benjamin","schmidt"
26,"bernard","borderie"
27,"brendan","mullan"
28,"bruce g.","elmegreen"
29,"c. d.","mackay"
30,"chenggang","zhuang"
31,"chris","pearson"
32,"corinna","kollath"
33,"d.","trevese"
34,"d.","paris"
35,"d.","petz"
36,"d. f. a.","winters"
37,"d. m.","basko"
38,"d. m.","segal"
39,"d. s.","novikov"
40,"damian c.","swift"
41,"darius","abramavicius"
42,"david p.","bennett"
43,"david t.","kettler"
44,"davide","meloni"
45,"debra meloy","elmegreen"
46,"delfim f. m.","torres"
47,"e.","marilli"
48,"eisuke","abe"
49,"elham","kashefi"
51,"eric","bonnet"
52,"f.","hiai"
53,"f.","vagnetti"
54,"francesca","gulminelli"
55,"francesca","rossi"
56,"francesco","santini"
57,"francesco","sannino"
58,"francis","filbet"
60,"fuquan","fang"
61,"g.","tsiropoula"
62,"g. i.","britvich"
63,"g. m.","stirpe"
64,"george","leitmann"
65,"glenn j.","white"
66,"h.","berger"
67,"h.","mineo"
68,"h.","eschrig"
69,"hai-hu","wen"
70,"herve","mohrbach"
71,"hidenori","watarai"
72,"hideo","matsuhara"
73,"hirosi","ooguri"
74,"hitoshi","hanami"
75,"huan","yang"
76,"hyung mok","lee"
77,"i.","grabec"
78,"i. l.","aleiner"
79,"i. s.","beloborodov"
80,"i. y.","korolkov"
81,"igor m.","kulic"
82,"ioana","paun"
83,"j.","setiawan"
84,"j.","geck"
85,"j.","bauer"
86,"j.","fink"
87,"j.","giannikakis"
88,"j. -h.","chung"
89,"j. a.","tjon"
90,"j. e.","lorenzo"
92,"jinhua","jiang"
93,"joaquim","ortega-cerda"
94,"john","harnad"
95,"john h.","schwarz"
96,"joseph","schechter"
97,"jun","ye"
98,"k.","biazzo"
99,"k.","koepernik"
100,"k.","tziotziou"
101,"k.","yamada"
102,"k.","tsushima"
103,"k. v.","datsko"
104,"kae","nemoto"
105,"kalobaran","maiti"
106,"katsunori","iwasaki"
107,"kristina","lerman"
108,"l.","girardi"
109,"l.","pasquini"
110,"l.","da silva"
111,"lei","shan"
112,"luca","stabellini"
113,"m.","knupfer"
114,"m.","vogel"
115,"marie-france","rivet"
116,"martin m.","boyd"
117,"masakiyo","kitazawa"
118,"maurizio","lusignoli"
120,"michael","oberguggenberger"
121,"michael","gutnic"
122,"michael b.","green"
123,"minkyu","kim"
124,"moo-young","chun"
125,"muriel","medard"
126,"myung gyoon","lee"
127,"myungshin","im"
128,"n. m.","law"
129,"narae","hwang"
130,"nicolas","besse"
131,"nicolas le","neindre"
132,"ning","kang"
133,"o. g.","tchikilev"
134,"o. p.","yushchenko"
135,"olivier","herbinet"
136,"ozlem","yesiltas"
137,"p.","young"
138,"p.","padovani"
139,"p.","heinzel"
140,"p. l.","russo"
141,"paolo","lipari"
142,"patricio s.","letelier"
143,"paul-marie","marquaire"
144,"pedro","resende"
145,"peter","olsson"
146,"prakash","panangaden"
147,"qi","li"
148,"r. c.","thompson"
149,"r. k.","thakur"
150,"rafal","oszwaldowski"
151,"ramazan","sever"
153,"s.","catalano"
154,"s.","teitel"
155,"s. a.","akimenko"
156,"s. bilge","ocak"
157,"s. n.","yang"
158,"s. t.","hodgkin"
159,"s. v.","borisenko"
160,"s. v.","laptev"
161,"sameer m.","ikhdair"
162,"samuele","bandi"
163,"sebastian","blatt"
164,"sebastien g. r.","louis"
166,"seth m.","foreman"
167,"shaul","mukamel"
168,"shingo","katsumoto"
169,"shinki","oyabu"
170,"soojong","pak"
171,"stefano","bistarelli"
172,"svetlana v.","boriskina"
173,"t. p.","spiller"
174,"taehyun","kim"
175,"takao","nakagawa"
176,"takehiko","wada"
177,"tanya","zelevinsky"
178,"teiji","kunihiro"
179,"thierry","giamarchi"
180,"thomas","zanon-willette"
181,"thomas","ferguson"
182,"thomas a.","trainor"
183,"tilman","sauer"
184,"tomoi","koide"
185,"toshinobu","takagi"
186,"u.","schuehle"
187,"ugo","montanari"
189,"v.","zitelli"
190,"v. a.","uvarov"
191,"v. a.","khmelnikov"
192,"v. a.","polyakov"
193,"v. a.","duk"
194,"v. b.","zabolotnyy"
195,"v. f.","obraztsov"
196,"v. i.","romanovsky"
197,"v. i.","shelikhov"
198,"v. m.","biryukov"
199,"v. m.","leontiev"
200,"v. m.","vinokur"
201,"v. n.","bolotov"
202,"v. p.","novikov"
203,"valeria m.","rosa"
204,"varun","aggarwal"
205,"velio","tralli"
206,"viet-anh","nguyen"
207,"vincent","danos"
208,"vincent l.","fish"
209,"w.","noertershaeuser"
210,"w. j.","munro"
211,"wei","bao"
212,"xiaoxing","xi"
213,"xin","yan"
214,"yasuhiro","iye"
215,"yi","cui"
216,"ying","chen"
217,"ying","jia"
218,"yingzi","zhang"
219,"yoshiaki","hashimoto"
220,"yuguang","zhang"
221,"yukio","nemoto"
222,"yum-tong","siu"
223,"zhenlei","zhang"
224,"zikui","liu"
